frame,timestamp,event,track_id,zone,details
502,16.73s,NEW_ID,1,ENTRY,ID 1 appeared in ENTRY
503,16.77s,NEW_ID,2,ENTRY,ID 2 appeared in ENTRY
505,16.83s,NEW_ID,3,ENTRY,ID 3 appeared in ENTRY
505,16.83s,NEW_ID,4,ENTRY,ID 4 appeared in ENTRY
510,17.00s,NEW_ID,5,ENTRY,ID 5 appeared in ENTRY
511,17.03s,NEW_ID,6,ENTRY,ID 6 appeared in ENTRY
515,17.17s,NEW_ID,7,ENTRY,ID 7 appeared in ENTRY
519,17.30s,NEW_ID,8,ENTRY,ID 8 appeared in ENTRY
522,17.40s,NEW_ID,9,ENTRY,ID 9 appeared in ENTRY
523,17.43s,NEW_ID,10,ENTRY,ID 10 appeared in ENTRY
524,17.47s,NEW_ID,11,ENTRY,ID 11 appeared in ENTRY
524,17.47s,NEW_ID,12,ENTRY,ID 12 appeared in ENTRY
527,17.57s,NEW_ID,13,ENTRY,ID 13 appeared in ENTRY
527,17.57s,NEW_ID,14,ENTRY,ID 14 appeared in ENTRY
532,17.73s,NEW_ID,16,ENTRY,ID 16 appeared in ENTRY
534,17.80s,NEW_ID,17,ENTRY,ID 17 appeared in ENTRY
534,17.80s,NEW_ID,18,ENTRY,ID 18 appeared in ENTRY
536,17.87s,NEW_ID,19,ENTRY,ID 19 appeared in ENTRY
540,18.00s,NEW_ID,21,ENTRY,ID 21 appeared in ENTRY
544,18.13s,NEW_ID,22,ENTRY,ID 22 appeared in ENTRY
546,18.20s,NEW_ID,23,ENTRY,ID 23 appeared in ENTRY
547,18.23s,NEW_ID,24,ENTRY,ID 24 appeared in ENTRY
549,18.30s,NEW_ID,25,ENTRY,ID 25 appeared in ENTRY
550,18.33s,NEW_ID,26,ENTRY,ID 26 appeared in ENTRY
552,18.40s,NEW_ID,27,ENTRY,ID 27 appeared in ENTRY
558,18.60s,NEW_ID,28,ENTRY,ID 28 appeared in ENTRY
558,18.60s,NEW_ID,29,ENTRY,ID 29 appeared in ENTRY
560,18.67s,NEW_ID,30,ENTRY,ID 30 appeared in ENTRY
562,18.73s,NEW_ID,31,ENTRY,ID 31 appeared in ENTRY
563,18.77s,NEW_ID,32,ENTRY,ID 32 appeared in ENTRY
567,18.90s,NEW_ID,33,ENTRY,ID 33 appeared in ENTRY
572,19.07s,NEW_ID,34,ENTRY,ID 34 appeared in ENTRY
